id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019db7b7-e3ff-705b-93b7-e1d8245b86a2,Awino Hassan,female,0.66,68,senior,TZ,Tanzania,0.6,2026-04-23T00:22:55.232Z
019db7b7-e562-712b-92c2-932eb5241191,Mercy Agyei,female,0.79,9,child,NG,Nigeria,0.11,2026-04-23T00:22:55.586Z
019db7b7-e62e-7283-ab0e-0222357b65e1,Hassan Girma,male,0.85,37,adult,UG,Uganda,0.38,2026-04-23T00:22:55.790Z
019db7b7-e6fb-733c-8c94-5c9a89bc37cd,Nabil Saidi,male,0.8,80,senior,SD,Sudan,0.49,2026-04-23T00:22:55.995Z
019db7b7-e7ce-761f-b22c-803572d449e2,Kimberly Scott,female,0.9,5,child,US,United States,0.34,2026-04-23T00:22:56.206Z
019db7b7-e89a-7478-a40e-8e9c878d211e,Nandi Girma,female,0.8,57,adult,MG,Madagascar,0.4,2026-04-23T00:22:56.410Z
019db7b7-e967-7595-ae1b-d710643fbbea,John Adams,male,0.98,37,adult,GB,United Kingdom,0.52,2026-04-23T00:22:56.615Z
019db7b7-ea35-75fb-9330-3c381035bdeb,Elizabeth Harris,female,0.77,32,adult,IN,India,0.11,2026-04-23T00:22:56.821Z
019db7b7-eb01-7764-b8da-0ffa37c8a274,Anne Kasavubu,female,0.88,43,adult,CM,Cameroon,0.29,2026-04-23T00:22:57.025Z
019db7b7-ebd4-729a-928b-c1c6b72dcda6,Yaa Adomou,female,0.78,50,adult,CV,Cape Verde,0.28,2026-04-23T00:22:57.236Z
019db7b7-eca5-7379-a1e8-7accd78d4cd8,Miséricorde Eyeghe,female,0.88,45,adult,CG,Republic of the Congo,0.36,2026-04-23T00:22:57.445Z
019db7b7-ed72-7664-99bf-c659ed4485b5,Odhiambo Kamau,male,0.7,64,senior,MZ,Mozambique,0.48,2026-04-23T00:22:57.650Z
019db7b7-ee3f-76df-9237-0206a4e5fd7b,Zanele Moyo,female,0.9,58,adult,ZA,South Africa,0.6,2026-04-23T00:22:57.855Z
019db7b7-ef18-7239-9f5f-eaee28feb5d4,Paul Sidibé,male,0.75,40,adult,ML,Mali,0.23,2026-04-23T00:22:58.072Z
019db7b7-f002-73ce-b628-fd31e9dace86,Tafadzwa Cele,male,0.92,37,adult,ZA,South Africa,0.5,2026-04-23T00:22:58.306Z
019db7b7-f0ce-76da-9640-91c9b38fc22f,Tanaka Khumalo,male,0.9,24,adult,ZA,South Africa,0.5,2026-04-23T00:22:58.510Z
019db7b7-f19b-7469-bcae-49bac1bba594,Thandiwe Dube,female,0.81,15,teenager,AO,Angola,0.52,2026-04-23T00:22:58.715Z
019db7b7-f268-76a3-8a0f-dd3c8af93573,Tendai Mwangi,male,0.75,6,child,TZ,Tanzania,0.4,2026-04-23T00:22:58.920Z
019db7b7-f336-76d2-8ee9-9013d0b9f392,Susan Edwards,female,0.83,54,adult,IN,India,0.42,2026-04-23T00:22:59.126Z
019db7b7-f413-772c-b206-f81b3227d4a2,Véronique Mukendi,female,0.77,55,adult,CD,DR Congo,0.24,2026-04-23T00:22:59.347Z
019db7b7-f4f3-734d-9b33-02ceb4d9a557,Kevin King,male,0.68,35,adult,FR,France,0.62,2026-04-23T00:22:59.571Z
019db7b7-f5bf-716b-bc1e-5b69825c7a45,Zanele Mnguni,female,0.68,30,adult,KE,Kenya,0.85,2026-04-23T00:22:59.775Z
019db7b7-f68c-77cd-a7c4-b684b7bd48da,Tadesse Achieng,male,0.83,34,adult,UG,Uganda,0.49,2026-04-23T00:22:59.980Z
019db7b7-f759-7079-8a71-91aa0b799f7a,Rakiya Otieno,female,0.97,14,teenager,KE,Kenya,0.38,2026-04-23T00:23:00.185Z
019db7b7-f826-776b-862c-48f71af0ff17,Mazvita Ndebele,female,0.76,50,adult,ZM,Zambia,0.91,2026-04-23T00:23:00.390Z
019db7b7-f8f3-770e-92d2-be078876c5d8,Carol Green,female,0.81,55,adult,GB,United Kingdom,0.65,2026-04-23T00:23:00.595Z
019db7b7-f9c0-77ad-ad87-9104f6bf046c,Kagiso Mohamed,male,0.98,7,child,ER,Eritrea,0.43,2026-04-23T00:23:00.800Z
019db7b7-fa8d-753f-9e36-308d08d4d857,Nomsa Ouma,female,0.94,42,adult,UG,Uganda,0.31,2026-04-23T00:23:01.005Z
019db7b7-fb5a-7529-83d3-d88a86df1021,Sadiya Awino,female,0.7,17,teenager,TZ,Tanzania,0.24,2026-04-23T00:23:01.210Z
019db7b7-fc27-749c-8edf-481b9edee64f,Fortuné Mboumba,male,0.95,17,teenager,GA,Gabon,0.53,2026-04-23T00:23:01.415Z
019db7b7-fcf4-744f-b925-c8123caa9425,Ayasha Kamau,female,0.82,46,adult,RW,Rwanda,0.68,2026-04-23T00:23:01.620Z
019db7b7-fdc7-758f-839e-033fc930e2d0,Adaeze Coulibaly,female,0.73,41,adult,NG,Nigeria,0.6,2026-04-23T00:23:01.831Z
019db7b7-fe93-74ef-9573-5d146b7159ce,Adhiambo Mnguni,female,0.79,83,senior,KE,Kenya,0.47,2026-04-23T00:23:02.035Z
019db7b7-ff66-7550-af18-a581c12458df,Maame Kaboré,female,0.8,56,adult,SN,Senegal,0.29,2026-04-23T00:23:02.246Z
019db7b8-0033-778c-a89c-14abb15b475e,Rumbidzai Mnguni,female,0.96,32,adult,NA,Namibia,0.26,2026-04-23T00:23:02.451Z
019db7b8-00ff-754c-8bb6-cc5864d90576,Généreuse Mboumba,female,0.71,40,adult,CD,DR Congo,0.39,2026-04-23T00:23:02.655Z
